iter	Passed	Remaining
411	3725	5317
412	3734	5307
413	3743	5298
414	3752	5290
415	3761	5280
416	3769	5270
417	3778	5260
418	3786	5250
419	3795	5241
420	3804	5231
421	3814	5224
422	3822	5214
423	3831	5205
424	3840	5196
425	3849	5186
426	3857	5176
427	3866	5167
428	3875	5158
429	3883	5148
430	3892	5138
431	3901	5129
432	3909	5119
433	3918	5110
434	3928	5102
435	3936	5092
436	3945	5083
437	3954	5074
438	3963	5065
439	3972	5056
440	3981	5046
441	3989	5037
442	3999	5028
443	4008	5020
444	4017	5010
445	4027	5002
446	4036	4993
447	4045	4984
448	4053	4974
449	4062	4965
450	4071	4956
451	4080	4947
452	4089	4938
453	4098	4928
454	4106	4919
455	4115	4910
456	4124	4900
457	4133	4891
458	4142	4882
459	4151	4873
460	4160	4864
461	4169	4854
462	4177	4845
463	4186	4836
464	4195	4827
465	4205	4819
466	4213	4808
467	4221	4798
468	4229	4788
469	4238	4779
470	4247	4770
471	4256	4761
472	4265	4752
473	4274	4743
474	4283	4733
475	4291	4724
476	4299	4713
477	4309	4706
478	4319	4698
479	4328	4688
480	4337	4680
481	4345	4670
482	4355	4661
483	4363	4651
484	4371	4642
485	4380	4632
486	4389	4623
487	4398	4615
488	4406	4605
489	4415	4596
490	4424	4586
491	4432	4576
492	4441	4567
493	4450	4558
494	4459	4549
495	4468	4540
496	4476	4530
497	4485	4521
498	4494	4512
499	4503	4503
500	4512	4494
501	4520	4484
502	4530	4476
503	4539	4467
504	4548	4457
505	4556	4448
506	4566	4439
507	4575	4431
508	4583	4421
509	4592	4412
510	4602	4403
511	4610	4394
512	4620	4385
513	4628	4376
514	4637	4367
515	4646	4357
516	4654	4348
517	4663	4339
518	4671	4329
519	4680	4320
520	4690	4312
521	4698	4302
522	4707	4293
523	4716	4284
524	4724	4274
525	4733	4265
526	4742	4256
527	4751	4247
528	4760	4238
529	4768	4228
530	4777	4219
531	4785	4210
532	4794	4200
533	4802	4191
534	4811	4182
535	4821	4173
536	4829	4164
